Личный номер,ФИО,Группа,Финансирование,Пол,Город постоянной регистрации
22И7571,Афанасий Захарьевич Уваров,ИЛБО-85-20,Б,М,Ярославль
23И6772,Нина Федоровна Лукина,ИЛБО-85-20,К,Ж,Хабаровск
20И6411,Петров Модест Давидович,ИЛБО-85-20,Б,М,Иваново
22И8185,Баранова Анжела Николаевна,ИЛБО-85-20,Б,Ж,Таганрог
23И9648,Василиса Болеславовна Белова,ИЛБО-85-20,К,Ж,Симферополь
23И9559,Азарий Даниилович Степанов,ИЛБО-85-20,К,М,Сыктывкар
22И8341,Емельян Александрович Горбачев,ИЛБО-85-20,Б,М,Мурманск
22И9952,Дмитриева Елизавета Дмитриевна,ИЛБО-85-20,К,Ж,Таганрог
23И5037,Нинель Ефимовна Устинова,ИЛБО-85-20,Б,Ж,Мариуполь
22И9356,Кузьма Дорофеевич Щукин,ИЛБО-85-20,Б,М,Калуга
21И5821,Смирнов Кузьма Гертрудович,ИЛБО-85-20,К,М,Таганрог
20И3970,Колесникова Нина Ефимовна,ИЛБО-85-20,К,Ж,Владимир
20И7221,Аркадий Андреевич Антонов,ИЛБО-85-20,К,М,Кемерово
21И9824,Евдокия Архиповна Третьякова,ИЛБО-85-20,Б,Ж,Курск
22И5476,Нинель Тимофеевна Брагина,ИЛБО-85-20,Б,Ж,Владивосток
20И0234,Артем Ильясович Большаков,ИЛБО-85-20,К,М,Ярославль
20И6211,Беляков Герман Игоревич,ИЛБО-85-20,Б,М,Чита
23И2890,Авдеев Лукьян Владиславович,ИЛБО-85-20,К,М,Рязань
20И2265,Евдокия Эдуардовна Носова,ИЛБО-85-20,К,Ж,Брянск
23И8515,Никифоров Ким Ярославович,ИЛБО-85-20,Б,М,Магнитогорск
23И4351,Олег Тихонович Гуляев,ИЛБО-85-20,Б,М,Оренбург
21И1064,Синклитикия Эльдаровна Исаева,ИЛБО-85-20,Б,Ж,Самара
20И8821,Абрамова Регина Тимофеевна,ИЛБО-85-20,К,Ж,Челябинск
22И8828,Симонов Куприян Юльевич,ИЛБО-85-20,К,М,Симферополь
21И5895,Мухин Ермил Фомич,ИЛБО-85-20,Б,М,Нижний Новгород
21И7824,Аггей Дорофеевич Евдокимов,ИЛБО-85-20,Б,М,Пенза
22И0534,Анжелика Дмитриевна Сысоева,ИЛБО-85-20,К,Ж,Нижневартовск
20И7315,Евпраксия Анатольевна Королева,ИЛБО-85-20,К,Ж,Киров
23И9712,Полина Оскаровна Шарова,ИЛБО-85-20,К,Ж,Чебоксары
23И4144,Регина Филипповна Павлова,ИЛБО-85-20,Б,Ж,Владимир
23И9414,Ильина Татьяна Тарасовна,ИЛБО-03-22,К,Ж,Саратов
21И9751,Пономарева Мария Феликсовна,ИЛБО-03-22,К,Ж,Москва
23И6007,Тихон Арсеньевич Голубев,ИЛБО-03-22,К,М,Чита
20И5093,Ларионов Болеслав Гордеевич,ИЛБО-03-22,К,М,Ярославль
22И7340,Евпраксия Максимовна Орлова,ИЛБО-03-22,Б,Ж,Ижевск
23И5420,Алла Тимуровна Устинова,ИЛБО-03-22,Б,Ж,Пенза
20И4059,Мартын Демидович Казаков,ИЛБО-03-22,К,М,Кемерово
22И4843,Октябрина Георгиевна Сысоева,ИЛБО-03-22,Б,Ж,Нижневартовск
21И9186,Рюрик Вячеславович Кузьмин,ИЛБО-03-22,Б,М,Смоленск
22И4829,Влас Давидович Беспалов,ИЛБО-03-22,К,М,Хабаровск
22И7838,Демид Феофанович Соловьев,ИЛБО-03-22,К,М,Курган
21И9398,Анисимов Анатолий Богданович,ИЛБО-03-22,Б,М,Челябинск
20И7241,Овчинникова Раиса Вениаминовна,ИЛБО-03-22,К,Ж,Луганск
20И5682,Борисова София Леонидовна,ИЛБО-03-22,К,Ж,Пермь
23И9023,Прасковья Вячеславовна Журавлева,ИЛБО-03-22,К,Ж,Донецк
21И9800,Ростислав Венедиктович Бобылев,ИЛБО-03-22,Б,М,Курск
20И1466,Петухов Платон Арсенович,ИЛБО-03-22,К,М,Омск
22И7523,Аркадий Арсенович Овчинников,ИЛБО-03-22,Б,М,Тула
21И0911,Зуева Фаина Ефимовна,ИЛБО-03-22,К,Ж,Калининград
21И8678,Ярослав Матвеевич Дроздов,ИЛБО-03-22,Б,М,Брянск
21И4916,Владлен Елизарович Князев,ИЛБО-03-22,Б,М,Самара
20И9394,Зоя Мироновна Антонова,ИЛБО-03-22,Б,Ж,Симферополь
20И1164,Марина Кузьминична Калинина,ИЛБО-03-22,К,Ж,Краснодар
21И1802,Еремей Терентьевич Исаков,ИЛБО-03-22,Б,М,Чита
21И4436,Тихонова Зинаида Архиповна,ИЛБО-03-22,Б,Ж,Мурманск
21И7058,Андреева Ульяна Филипповна,ИЛБО-03-22,Б,Ж,Архангельск
23И0248,Рубен Венедиктович Беспалов,ИЛБО-03-22,К,М,Иваново
20И3037,Самсонов Еремей Ефстафьевич,ИЛБО-03-22,Б,М,Воронеж
21И4866,тов. Савельева Нонна Тимофеевна,ИЛБО-03-22,Б,Ж,Омск
20И9665,Фадеева Глафира Владиславовна,ИЛБО-03-22,К,Ж,Красноярск
22И2384,Максимова Анна Романовна,ИЛБО-05-21,К,Ж,Архангельск
20И5915,Максимильян Ильясович Казаков,ИЛБО-05-21,К,М,Омск
20И6050,Нинель Сергеевна Николаева,ИЛБО-05-21,К,Ж,Самара
21И8919,Вера Константиновна Русакова,ИЛБО-05-21,К,Ж,Чита
23И3151,Герасимова Александра Вениаминовна,ИЛБО-05-21,К,Ж,Магнитогорск
23И4462,Некрасов Авдей Вилорович,ИЛБО-05-21,Б,М,Мурманск
21И3248,Юлия Евгеньевна Киселева,ИЛБО-05-21,К,Ж,Рязань
21И9499,Носков Пимен Виленович,ИЛБО-05-21,Б,М,Сыктывкар
22И3730,Денис Артёмович Тихонов,ИЛБО-05-21,К,М,Чита
20И1737,Анастасия Станиславовна Федотова,ИЛБО-05-21,К,Ж,Таганрог
22И3446,Акулина Анатольевна Громова,ИЛБО-05-21,К,Ж,Набережные Челны
23И3974,Вероника Никифоровна Родионова,ИЛБО-05-21,К,Ж,Нижний Новгород
20И4912,Филатов Савва Фомич,ИЛБО-05-21,К,М,Симферополь
22И1652,Борисова Дарья Матвеевна,ИЛБО-05-21,К,Ж,Краснодар
20И9953,г-жа Зиновьева Алла Георгиевна,ИЛБО-05-21,Б,Ж,Набережные Челны
21И0821,Блохин Мартын Даниилович,ИЛБО-05-21,Б,М,Курган
22И1146,Шарапова Анжела Владиславовна,ИЛБО-05-21,Б,Ж,Красноярск
22И9754,Ковалева Евгения Вадимовна,ИЛБО-05-21,Б,Ж,Сочи
20И0754,Лапина Зоя Аскольдовна,ИЛБО-05-21,К,Ж,Барнаул
22И4377,Всеволод Данилович Комаров,ИЛБО-05-21,К,М,Пенза
20И4325,Артемьева Таисия Тарасовна,ИЛБО-05-21,Б,Ж,Мурманск
22И1303,Назарова Милица Болеславовна,ИЛБО-05-21,Б,Ж,Ростов-на-Дону
21И4707,Громова Ираида Анатольевна,ИЛБО-05-21,К,Ж,Пенза
22И6632,Нина Афанасьевна Рыбакова,ИЛБО-05-21,Б,Ж,Тула
22И5796,Александрова Ирина Рудольфовна,ИЛБО-05-21,К,Ж,Липецк
21И3612,Лидия Олеговна Хохлова,ИЛБО-05-21,Б,Ж,Брянск
22И8902,Василий Власович Никитин,ИЛБО-05-21,К,М,Самара
21И9376,Чеслав Андреевич Комаров,ИЛБО-05-21,К,М,Ижевск
22И3472,Семенова Эмилия Кузьминична,ИЛБО-05-21,К,Ж,Оренбург
20И1456,Лыткина Анжела Эльдаровна,ИЛБО-05-21,К,Ж,Сыктывкар
21И3626,Зоя Архиповна Дроздова,ИВБО-47-21,Б,Ж,Москва
20И8229,Валерия Михайловна Ефимова,ИВБО-47-21,Б,Ж,Калининград
21И5337,Родион Феофанович Иванов,ИВБО-47-21,К,М,Владивосток
20И6981,Маргарита Филипповна Полякова,ИВБО-47-21,К,Ж,Ставрополь
21И0594,Еремей Иосифович Елисеев,ИВБО-47-21,К,М,Новороссийск
22И2043,Пахомов Осип Юльевич,ИВБО-47-21,К,М,Волгоград
23И1558,Майя Петровна Кулакова,ИВБО-47-21,Б,Ж,Самара
23И5144,Пономарев Игорь Тимурович,ИВБО-47-21,К,М,Чебоксары
20И8436,Всеслав Жанович Щербаков,ИВБО-47-21,К,М,Чебоксары
